,,Basics,,,,,,,Year / project analysed,,,Information from CC Website,,,,Links,,,,People Helped,,,,,,,,,,,,,Money Flows - to find true(r) cost,,Money Flows - to find true(r) cost,,,,,,,,,,,,Money Flows - Incoming,,Reserves,,,App-Related Info,,,,,Description of charity,,Stories,Stories - source,Logo image,Photo Image,Photo Image,Photo Caption,Photo - source,Other ,,,,,Educated Guesses of Quality,,,
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Costi,Overall,1-Jan-2014,31-Dec-2014,Yes,,,,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20141231_E_C.pdf,,NEED TO CHECK THE 21229 FIGURE - LOOKS WRONG?? A BIT MORE THAN THAT RECEIVED REFUGEE SERVICES ALONE,"21,229",,,"158,792",,,,,,,,,,"£256,600,000",,,,"£256,600,000","£12,087.24","£1,615.95",,,,,,,"Very approximate - numbers of beneficiaries given only for UK opps, so I multiplied them based on the proportion of total international spending UK spending constitutes",,,,,,,,"No, no source is stated for the data, and it's a struggle to find the figures in the accounts",,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,B,5,,
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Costi & Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,Income from charitable activities is all contracts and grants according to note 3,,,,,,,,,,,,,,"£259,700,000",£0,,"£25,000,000","£234,700,000",,,,,,,,,,,,,,,,,,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£39,700,000"
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Sanjay,Emergency response,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,Number of beneficiaries mentioned on p18,"15,914",people (singular: person) helped in the UK,"Among other things, Red Cross offers support for emergencies such as floods, by offering comfort, a warm place to rest, and advice on next steps",,,,,,,,,,,"£34,093,949",£0,,"£3,282,051","£30,811,897","£1,936.15",,,,,,,,,,,,,,,Yes,yes,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£5,211,897"
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Sanjay,Refugees and migration,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£16,514,256",£0,,"£1,589,744","£14,924,513",#DIV/0!,,,,,,,,,,,,,,,,,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£2,524,513"
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Sanjay,First aid,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,Number of beneficiaries mentioned on p18,"158,808",people (singular: person) trained in first aid,,28288,casualties (singular: casualty) given first aid treatment at events by Red Cross volunteers,,,,,,,,,"£32,628,974",£0,,"£3,141,026","£29,487,949",£185.68,"£1,153.46",,,,,,,,,,,,,,,yes,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£4,987,949"
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Sanjay,Independent living,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£74,314,154",£0,,"£7,153,846","£67,160,308",#DIV/0!,,,,,,,,,,,,,,,,,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£11,360,308"
Red Cross,The British Red Cross Society,First Aid & Disaster response,,Direct Work,,220949,Yes,Sanjay,International,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER DEFINED GROUPS • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityFramework.aspx?RegisteredCharityNumber=220949&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends49/0000220949_AC_20151231_E_C.pdf,,,,,,,,,,,,,,,,"£102,148,667",£0,,"£9,833,333","£92,315,333",#DIV/0!,,,,,,,,,,,,,,,,,,,"Red Cross is a global voluntary network helping people in crisis, e.g. because of conflicts or natural disasters. They operate in countries in the developed world including the UK as well as the developing world",,,,,,,,,,,,,,,,,"£15,615,333"
Sightsavers,Royal Commonwealth Society for the Blind,Blindness & health & International aid & Poverty,,Direct Work,,207544,Yes,Costi,Overall,1-Jan-2014,31-Dec-2014,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207544&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20141231_E_C.pdf,,See separate tab,"102,530,814",NTD Treatment(s),,,,,,,,,,,,"£185,041,000",,,,"£185,041,000",£1.80,,,,,,,,"See separate tab for a table which breaks down the different beneficiaries. I excluded those who were educated/trained, although these are (in fact) good outcomes too",,,,,,,,"No, old data",,,Sightsavers is a UK-based international charity which fights avoidable blindness and promotes equal opportunities for visually impaired people.,,,,,,,,,,,,,,A,3,Some of the interventions are strikingly life changing (i.e. giving someone their sight back) and others are more preventative work around NTDs (neglected tropical diseases) which means that many beneficiaries will receive the prevention which in fact wouldn't have mattered for them anyway - i.e. dilution effect,
Sightsavers,Royal Commonwealth Society for the Blind,Blindness & health & International aid & Poverty,,Direct Work,,207544,Yes,Costi,Overall,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207544&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20151231_E_C.pdf,,"Accounts show the income from charitable activities as £21.889m, however the income comes from grants, so it's been excluded from here","142,352,062",NTD Treatment(s),,,,,,,,,,,,"£196,864,000",£0,,£0,"£196,864,000",£1.38,,,,,,,,,"£198,303,000","£198,303,000","£13,334,000",7%,,,,,,,Sightsavers is a UK-based international charity which fights avoidable blindness and promotes equal opportunities for visually impaired people.,,,,,,,,,,,,developing countries,http://www.givewell.org/charities/sightsavers,,,,"£17,475,000"
Sightsavers,Royal Commonwealth Society for the Blind,Blindness & health & International aid & Poverty,,Direct Work,,207544,Yes,Costi,Eye Care,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207544&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20151231_E_C.pdf,,page 22 of accounts,"334,156",operation(s) performed,"These operations include cataract, glaucoma surgery, diabetic retinopathy, trichiasis and other general eye operations",,,,,,,,,,,"£40,767,273",£0,,,"£40,767,273",£122.00,,,,,,,,,,,,,,You covered eye surgery for XXX (x/67) people in developing countries,,,,,Sightsavers is a UK-based international charity which fights avoidable blindness and promotes equal opportunities for visually impaired people.,,,,,,,,,,,,,,,,,"£3,618,783"
Sightsavers,Royal Commonwealth Society for the Blind,Blindness & health & International aid & Poverty,,Direct Work,,207544,Yes,Costi,Neglected Tropical Diseases (Deworming),1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207544&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20151231_E_C.pdf,,page 22 of accounts,"141,998,557","people (singular: person) treated for ""NTDs"" (tropical diseases)","Certain types of parasites in the developing world can lead to various health problems, including the disease onchocerciasis, which can lead to blindness. Sightsavers distributes cost-effective treatments for these",,people not going blind who otherwise would have,,children attending school more,,people getting a higher income in later life,,,,,"£148,239,641",,,,"£148,239,641",£1.04,,,,,,,,Mectizan tablets donated by Merck,,,,,,,"Yes (assumption here is that this project will be the growth project, because Sightsavers has just become GiveWell recommended, which means that it will have a huge increase in donations restricted to NTDs, so NTDs will be the growth area for Sightsavers' work)",Yes,Medium,"Some uncertainty about whether the money will actually fund mectizan tablets (as opposed to, say, eye care or education, which would also be good uses of the money)",Sightsavers is a UK-based international charity which fights avoidable blindness and promotes equal opportunities for visually impaired people.,,"Over one billion people are affected by neglected tropical diseases (NTDs). These include blinding trachoma, river blindness (onchocerciasis), lymphatic filariasis (also called elephantiasis), schistosomiasis (also called bilharzia) and soil transmitted helminthiasis (a variety of intestinal worms).","Sightsavers has been tackling Neglected Tropical Diseases (NTDs) since 2011. Their work in this area not only tackles blindness but also has other health benefits, and is so cost-effective that even a small donation will likely improve the lives of many people.",https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Sightsavers-Logo-2.jpg?raw=true,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/Sightsavers%20-%20Evans.PNG?raw=true,,"Evans, from Gyankobaa in the Ashanti region of Ghana, shows us his Mectizan®, which he has just had administered. ",P21 of 2015 accounts: http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20151231_E_C.pdf,,,,,,,,,"£13,158,768"
Sightsavers,Royal Commonwealth Society for the Blind,Blindness & health & International aid & Poverty,,Direct Work,,207544,Yes,Costi,Education,1-Jan-2015,31-Dec-2015,Yes,• EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • DISABILITY • THE PREVENTION OR RELIEF OF POVERTY • OVERSEAS AID / FAMINE RELIEF • ECONOMIC / COMMUNITY DEVELOPMENT / EMPLOYMENT ,• CHILDREN / YOUNG PEOPLE • ELDERLY / OLD PEOPLE • PEOPLE WITH DISABILITIES • OTHER CHARITIES OR VOLUNTARY BODIES • THE GENERAL PUBLIC / MANKIND ,• MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=207544&SubsidiaryNumber=0,http://apps.charitycommission.gov.uk/Accounts/Ends44/0000207544_AC_20151231_E_C.pdf,,page 22 of accounts,"19,349",people (singular: person) supported in education,,,,,,,,,,,,"£7,857,085",£0,,,"£7,857,085",£406.07,,,,,,,,,,,,,,,,,,,Sightsavers is a UK-based international charity which fights avoidable blindness and promotes equal opportunities for visually impaired people.,,,,,,,,,,,,,,,,,"£697,449"
Royal National Lifeboat Institution (RNLI),The Royal National Lifeboat Institution,Lifeboats & Saving Lives,,Direct Work,,209603,Yes,Chris & Sanjay,Overall,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • ARTS / CULTURE / HERITAGE / SCIENCE ,• THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=209603&SubsidiaryNumber=0,https://rnli.org/about-us/how-the-rnli-is-run/annual-report-and-accounts,http://rnli.org/aboutus/aboutthernli/Pages/Running-costs.aspx,Can also look at http://rnli.org/aboutus/aboutthernli/Pages/Running-costs.aspx. lives saved stated on p3 of accounts,"10,174",,,442,lives (singular: life) saved,,,,,,,,,"£175,400,000",£0,,"£6,900,000","£168,500,000","£16,562","£396,832.58",,,,,,,2015 lifeboat rescues + beach assistance + flooding rescues. Income from charitable activities given as £3.5m in the accounts - I've assumed that it's grants and therefore not income from charitable activities from the perspective of this database,"£191,400,000","£56,500,000","£109,800,000",65%,General funds less pension reserve,"You helped rescue XXXX people from difficulty at sea, on beaches, or during flood conditions.",,,High,,"RNLI works to save lives at sea around the coasts of Britain and Ireland through its work with lifeguards, lifeboats, and flood rescue.",,,,,,,,,,,,,,C,2,"Anecdotally, lots of the lifeboat rescues will be something relatively minor, like a fishing net getting stuck in a propellor, and only a few of them will be major incidents. Similarly with the lifeguard incidents on the beach, lots of them will be someone needing a plaster or a child getting lost (who quite likely would have been found anyway if the lifeguard hadn't been there) and only a few will be major.","£28,000,000"
Royal National Lifeboat Institution (RNLI),The Royal National Lifeboat Institution,Lifeboats & Saving Lives,,Direct Work,,209603,Yes,Chris & Sanjay,Lifeboat Crews,1-Jan-2015,31-Dec-2015,Yes,• GENERAL CHARITABLE PURPOSES • EDUCATION / TRAINING • THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES • ARTS / CULTURE / HERITAGE / SCIENCE ,• THE GENERAL PUBLIC / MANKIND,• MAKES GRANTS TO INDIVIDUALS • MAKES GRANTS TO ORGANISATIONS • PROVIDES HUMAN RESOURCES • PROVIDES BUILDINGS / FACILITIES / OPEN SPACE • PROVIDES SERVICES • PROVIDES ADVOCACY / ADVICE / INFORMATION • SPONSORS OR UNDERTAKES RESEARCH ,http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithPartB.aspx?RegisteredCharityNumber=209603&SubsidiaryNumber=0,https://rnli.org/about-us/how-the-rnli-is-run/annual-report-and-accounts,http://rnli.org/aboutus/aboutthernli/Pages/Running-costs.aspx,P3 of accounts,"8,228",launch(es) of lifeboat(s),Lifeboats may be launched for anything from helping a boat with a fishing net caught in its propeller to a major life-threatening incident,"7,973",people (singular: person) rescued,,,,,,,,,"£137,590,721",£0,,"£5,412,634","£132,178,087","£16,064","£17,257.08",,,,,,,,,,,,,,Yes,Yes,Medium,Minor cost allocation assumptions (Have assumed that the costs for the lifeboat work doesn't need any allocation for flood rescue work). ,"RNLI works to save lives at sea around the coasts of Britain and Ireland through its work with lifeguards, lifeboats, and flood rescue.",,"On a cold February night, RNLI volunteers from Scarborough launched their lifeboat into dark and treacherous conditions. Led by Helm Rudi Barman, they braved breaking 2m waves and whipping force 7 winds to reach Andrew McGeown. They brought him to shore and did everything they could to revive him. Tragically, Andrew was beyond help. Rudi received the RNLI’s Bronze Medal for Gallantry for his leadership, boathandling skills and bravery. ‘I don’t think anything can ever prepare you for a rescue like that,’ he says. ‘It was the most difficult rescue I’ve been on. But it’s something we train for day in, day out. To be recognised with an award like this is a great honour, but it’s not just me. There are many different wheels that work in this station down to the people who have trained me and the crew over the years.’","2015 accounts, page 4. I accessed the accounts from this URL: https://rnli.org/about-us/how-the-rnli-is-run/annual-report-and-accounts",https://github.com/winterstein/SoGive/blob/master/webroot/img/external/RNLI%20logo.PNG?raw=true,https://github.com/winterstein/SoGive/blob/master/webroot/img/external/RNLI%20image.PNG?raw=true,,,"2015 accounts, page 4. I accessed the accounts from this URL: https://rnli.org/about-us/how-the-rnli-is-run/annual-report-and-accounts",,,,,,,,,"£21,964,311"
